"","id_project","id_req","id_frame","id_task","desc_frameFam","num_estimate","num_estDur","num_actDur","num_logError"
"1","F6051G7","CR3B","61B","0010","6/1A-C",26.9634385541805,27,128,-1.55754844319756
"2","F7381G4","CR3B","61B","0010","6/1A-C",26.9634385541805,27,1,3.29448182072206
"3","F7381G3","CR3B","61B","0010","6/1A-C",26.9634385541805,27,2,2.60133464016212
"5","F7000G8","CR3B","71EA","0010","7/1A-H",26.4820240503895,27,1,3.2764661650959
"6","F7464G7","CR3B","91E","0010","9/1A-H",25.7255155444323,27,1,3.2474833221192
"8","F7464G1","CR3B","91E","0010","9/1A-H",25.7255155444323,27,1,3.2474833221192
"12","F6835G5","CR3B","91E","0010","9/1A-H",25.7255155444323,27,2,2.55433614155925
"14","F6835G4","CR3B","91E","0010","9/1A-H",25.7255155444323,27,2,2.55433614155925
"16","F7464G6","CR3B","91E","0010","9/1A-H",25.7255155444323,27,1,3.2474833221192
"19","F6761G2","CR3L","61B","0010","6/1A-C",26.9350191879922,27,1,3.29342726851361
"20","F6980G6","CR3L","7FA.01","0010","7/1FA",26.2472841825765,27,1,3.26756252397394
"21","F6980G3","CR3L","7FA.01","0010","7/1FA",26.2472841825765,27,1,3.26756252397394
"22","F6980G7","CR3L","7FA.01","0010","7/1FA",26.2472841825765,27,1,3.26756252397394
"23","F6980G5","CR3L","7FA.01","0010","7/1FA",26.2472841825765,27,1,3.26756252397394
"24","F6643G25","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"25","F7392G1","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"26","F6971G16","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,307,-2.46453943074477
"27","F7131G10","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"28","F7308G1","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,252,-2.26712077066899
"29","F7006G42","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,93,-1.27029117631083
"30","F6971G13","CR3L","7FA.03","0010","7/1FA",26.1097371814934,24,1,3.26230831684243
"33","F6791G8","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,2,2.56916113628248
"37","F7308G3","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,31,-0.171678887642717
"38","F7006G47","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"40","F6315G2","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"41","F7444G3","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"43","F6018G5","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"44","F6643G23","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"48","F7313G21","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"49","F6971G17","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,374,-2.6619474805721
"50","F7006G48","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"51","F6836G9","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,7,1.31639816778712
"54","F7006G45","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"55","F7006G52","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"56","F7392G2","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"58","F6643G24","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"59","F6836G7","CR3L","7FA.03","0010","7/1FA",26.1097371814934,10,277,-2.36170918934491
"63","F6122G8","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"67","F6122G10","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,20,0.266576043288439
"68","F7006G49","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
"70","F7448G4","CR3L","7FA.03","0010","7/1FA",26.1097371814934,27,1,3.26230831684243
