"","id_project","id_req","id_frame","id_task","desc_frameFam","num_estimate","num_estDur","num_actDur","num_logError"
"1","F7373G1","FK8X","32F","0010","3/2A-K",21.7705476785898,27,1,3.08055803242151
"2","F6774G3","FS2T","32J","0010","3/2A-K",21.7092475087975,27,167,-2.04025549016837
"3","F6774G3","FS2Y","32J","0010","3/2A-K",21.7092475087975,27,167,-2.04025549016837
"4","F6774G3","FS6A","32J","0010","3/2A-K",21.7092475087975,27,167,-2.04025549016837
"5","F6774G3","FT1R","32J","0010","3/2A-K",21.7092475087975,27,167,-2.04025549016837
"6","F6774G3","FT7J","32J","0010","3/2A-K",21.7092475087975,27,167,-2.04025549016837
"7","F5578G3","FK8X","51D","0010","5/1A-RN",21.6479473390051,27,1,3.07491063882224
"8","F7083G4","FZ1Z","51LA","0010","5/1A-RN",21.464046829628,27,2,2.37323211433644
"9","F6968G2","FK2C","51LA","0010","5/1A-RN",21.464046829628,22,1,3.06637929489638
"11","F7426G1","FS1T","51M","0010","5/1A-RN",21.4027466598357,27,38,-0.574066897344104
"13","F6968G2","FK2C","51N","0010","5/1A-RN",21.3414464900433,22,1,3.06065102661502
"15","F7377G1","FZ1Z","51N","0010","5/1A-RN",21.3414464900433,27,1,3.06065102661502
"17","F5877G3","FK8X","51P","0010","5/1A-RN",21.2801463202509,27,1,3.05777454040145
"18","F7485G1","FZ1Z","51P","0010","5/1A-RN",21.2801463202509,27,1,3.05777454040145
"19","F7393G9","FK8X","51P","0010","5/1A-RN",21.2801463202509,27,92,-1.46401403664759
"20","F6336G8","FZ1Z","51P","0010","5/1A-RN",21.2801463202509,27,1,3.05777454040145
"21","F6424G24","FS4C","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"22","F7091G2","FJ2L","51P","0010","5/1A-RN",21.2801463202509,27,2,2.3646273598415
"23","F6424G24","FS2T","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"24","F7091G2","FT7J","51P","0010","5/1A-RN",21.2801463202509,27,2,2.3646273598415
"25","F7393G17","FG1A","51P","0010","5/1A-RN",21.2801463202509,27,7,1.11186439134613
"26","F7408G3","FS2Z","51P","0010","5/1A-RN",21.2801463202509,26,1,3.05777454040145
"27","F6424G24","FS2V","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"28","F7393G2","FA1J","51P","0010","5/1A-RN",21.2801463202509,27,91,-1.4530849661154
"30","F6424G24","FT7J","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"31","F7393G13","FK8X","51P","0010","5/1A-RN",21.2801463202509,27,92,-1.46401403664759
"32","F6674G1","FK5K","51P","0010","5/1A-RN",21.2801463202509,27,358,-2.82275844599925
"33","F7091G2","FD1E","51P","0010","5/1A-RN",21.2801463202509,27,2,2.3646273598415
"34","F7408G2","FS2Y","51P","0010","5/1A-RN",21.2801463202509,27,1,3.05777454040145
"35","F6424G24","FS6A","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"36","F6424G24","FS2Y","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"37","F5231G4","FS2Z","51P","0010","5/1A-RN",21.2801463202509,27,1,3.05777454040145
"39","F6424G24","FT8A","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"40","F7408G3","FS6A","51P","0010","5/1A-RN",21.2801463202509,26,1,3.05777454040145
"41","F6503G1","FS6A","51P","0010","5/1A-RN",21.2801463202509,27,10,0.755189447407401
"42","F6424G24","FT3M","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"43","F7408G3","FS2V","51P","0010","5/1A-RN",21.2801463202509,26,1,3.05777454040145
"46","F6424G24","FT3C","51P","0010","5/1A-RN",21.2801463202509,24,1,3.05777454040145
"49","F7408G3","FS2T","51P","0010","5/1A-RN",21.2801463202509,26,1,3.05777454040145
"50","F7393G7","FA1J","51P","0010","5/1A-RN",21.2801463202509,27,185,-2.16258128467688
"51","F7408G3","FT7J","51P","0010","5/1A-RN",21.2801463202509,26,1,3.05777454040145
