"","text","Freq"
"1","#",1
"2","&",7
"3","(TIL",3
"4","/",5
"5","00",1
"6","01",3
"7","1",1
"8","1023308",3
"9","11",5
"10","1275",2
"11","13",5
"12","1562)",3
"13","1564",1
"14","1566",1
"15","1612",1
"16","1752",1
"17","1817",2
"18","1819",3
"19","1884",1
"20","1R2",2
"21","246.1",2
"22","246.4",1
"23","291",1
"24","32284",1
"25","40621",3
"26","641",5
"27","826",5
"28","883.3",1
"29","996335",1
"30","and",1
"31","applicable",1
"32","Applied",1
"33","ATQ",7
"34","AUX1",1
"35","BK7QA",2
"36","BM",1
"37","but",1
"38","China",3
"39","cr3a",3
"40","CR3A",76
"41","cr3b",2
"42","CR3B",114
"43","CR3C",132
"44","CR3D",99
"45","CR3E",96
"46","CR3F",99
"47","CR3G",44
"48","CR3H",15
"49","CR3J",20
"50","CR3K",11
"51","CR3L",393
"52","CR3M",6
"53","CR3N",8
"54","CR3P",54
"55","CR3Q",50
"56","CR3R",34
"57","CR3S",6
"58","CR3T",7
"59","Dubal",1
"60","e",1
"61","E",1
"62","EXC1",5
"63","EXC3",5
"64","F",81
"65","F24P",2
"66","FA!UB",2
"67","FA1A",178
"68","FA1B",7
"69","FA1C",12
"70","FA1D",11
"71","FA1E",2
"72","FA1F",9
"73","FA1G",7
"74","FA1H",4
"75","FA1J",16
"76","FA1K",9
"77","FA1L",28
"78","FA1M",6
"79","FA1P",22
"80","FA1Q",1
"81","FA1R",9
"82","FA1S",72
"83","FA1T",2
"84","fa1u",3
"85","FA1U",1562
"86","FA1UA",190
"87","FA1UB",160
"88","FA1V",6
"89","fa1w",2
"90","FA1W",1131
"91","FA1X",3
"92","FA2A",6
"93","FA2B",5
"94","FA2C",35
"95","FA2D",8
"96","FA2E",3
"97","FA2F",1
"98","FA2G",44
"99","FA2H",4
"100","FA2J",5
"101","FA2L",1
"102","FA2M",28
"103","FA3A",27
"104","FA3D",61
"105","FA3E",3
"106","FA3G",2
"107","FA3H",9
"108","FA3I",65
"109","FA3J",31
"110","FA3K",5
"111","FA3L",5
"112","FA3M",46
"113","FA3N",86
"114","FA3P",1
"115","FA3Q",3
"116","FA3R",63
"117","FA3S",33
"118","FA3T",55
"119","FA4A",37
"120","FA4C",2
"121","FA4E",1
"122","FA4F",3
"123","FA4G",2
"124","FA4J",9
"125","FA4U",1
"126","FA5A",8
"127","FA5B",8
"128","FA5C",29
"129","FA5D",2
"130","FA5E",13
"131","FA6A",27
"132","FA6B",15
"133","FA6C",3
"134","FA6D",27
"135","FAIUB",2
"136","FB1A",11
"137","FB1B",4
"138","FB1C",4
"139","FB1F",1
"140","FB2C",6
"141","FB2J",63
"142","FB3A",15
"143","FB3L",7
"144","FC1A",2
"145","FC1B",6
"146","FC1H",5
"147","FC1J",7
"148","FC1K",15
"149","FC1M",16
"150","FC2A",2
"151","FC2D",5
"152","FC2F",6
"153","FC2G",36
"154","FC3A",10
"155","FC3B",15
"156","FC3C",10
"157","FC3F",22
"158","FC3G",26
"159","FC3H",2
"160","FC3K",89
"161","FC4A",14
"162","FC4B",34
"163","FC4C",22
"164","FC4D",67
"165","FC4E",1
"166","FC4G",1
"167","FC4K",8
"168","FC4N",511
"169","FC4N;",4
"170","FC4O",16
"171","FD1A",1
"172","FD1E",60
"173","FD2D",6
"174","FD2E",4
"175","FD2J",5
"176","FD2K",2
"177","FD2P",2
"178","FD2Q",6
"179","FD2QA",1
"180","FD2QB",1
"181","FD2QC",1
"182","FD2RA",1
"183","FD2RD",1
"184","FD3A",137
"185","FD3F",2
"186","FD3G",64
"187","FD4B",6
"188","FD4C",3
"189","FD4D",6
"190","FD4F",11
"191","FD4G",6
"192","FD4H",112
"193","FD4K",16
"194","FD4L",68
"195","FD4M",1
"196","FD5A",8
"197","FD5B",5
"198","FD5C",59
"199","FD5E",6
"200","FD5F",4
"201","FD6B",1
"202","FD6L",1
"203","FD7A",3
"204","FF",2
"205","FF1",7
"206","FF1A",1
"207","FF1DA",4
"208","FF1DB",1
"209","FF1E",5
"210","FF1EA",14
"211","FF1EB",2
"212","FF1EC",7
"213","FF1F",2
"214","FF1G",6
"215","FF1H",8
"216","FF1HA",2
"217","FF1K",405
"218","FF1L",63
"219","FF1P",34
"220","FF1Q",1
"221","FF2A",6
"222","FF2B",1
"223","FF3A",20
"224","FF3B",2
"225","FF4A",170
"226","FF4B",47
"227","FF4C",14
"228","FF5",1
"229","FF5A",29
"230","FF5B",77
"231","FF5C",57
"232","FF5D",41
"233","FF5E",20
"234","FF5F",5
"235","FF5G",20
"236","FF5H",11
"237","FF5I",6
"238","FF6A",1
"239","FF6B",5
"240","FF6C",11
"241","FF7A",5
"242","FF8A",15
"243","FFG2UA",17
"244","FFIK",2
"245","FFR1W",3
"246","FG1A",89
"247","FG1B",47
"248","FG1C",42
"249","FG1C;",4
"250","FG1D",17
"251","FG1L",3
"252","FG1M",2
"253","FG1P",5
"254","FG2B",242
"255","FG2D",34
"256","FG2DC",7
"257","FG2E",22
"258","FG2F",51
"259","FG2G",15
"260","FG2H",1
"261","FG2J",16
"262","FG2K",340
"263","FG2KA",298
"264","FG2KB",846
"265","FG2KC",50
"266","FG2KD",16
"267","FG2L",99
"268","FG2M",40
"269","FG2MA",131
"270","FG2MB",121
"271","FG2MC",16
"272","FG2MD",38
"273","FG2ME",33
"274","FG2MF",27
"275","FG2MG",10
"276","FG2MH",11
"277","FG2MI",29
"278","FG2N",11
"279","FG2O",1
"280","FG2P",1
"281","FG2R",34
"282","FG2RA",183
"283","FG2RB",71
"284","FG2RC",158
"285","FG2RD",18
"286","FG2RE",38
"287","FG2RG",113
"288","FG2RH",48
"289","FG2RI",4
"290","FG2RJ",13
"291","FG2S",2
"292","FG2T",10
"293","FG2TA",2
"294","FG2TB",1
"295","FG2U",274
"296","FG2UA",354
"297","FG2UB",189
"298","FG2VA",13
"299","FG2VB",3
"300","FG3D",1
"301","FG3G",7
"302","FGK2B",3
"303","FGRH",1
"304","FH1A",2
"305","FH1D",2
"306","FH1G",2
"307","FH1GA",2
"308","FH1H",20
"309","FH1P",3
"310","FJ1B",1
"311","FJ1D",10
"312","FJ1K",1
"313","FJ2C",1
"314","FJ2L",55
"315","fj2m",2
"316","FJ2M",450
"317","FJ3A",2
"318","Fj3B",11
"319","FJ3B",27
"320","FJ3D",5
"321","FJ3M",10
"322","FJ4A",5
"323","FJ4B",2
"324","FJ4C",1
"325","FJ4F",2
"326","FJ5A",11
"327","FK",13
"328","FK(AA",1
"329","FK1A",387
"330","fk1g",12
"331","FK1G",2023
"332","FK1G.",1
"333","FK1K",1
"334","FK1S",16
"335","FK1X",4
"336","FK1Z",169
"337","FK2A",5
"338","FK2B",3
"339","FK2C",19
"340","FK2D",14
"341","fk2da",2
"342","FK2DA",1058
"343","FK2DB",131
"344","FK2DC",52
"345","FK2DD",7
