id_req,desc_cat1,desc_cat2,desc_cat3,desc_cat4,desc_pegText
CR3A,Contractural Combustion,Contractural Combustion,COMBUSTION,"INCREASE COMBUSTION INSPECTION INTERVAL FROM 12,000 HOURS TO 16,000 HOURS, NON-EXTENDOR [CR3A]","61B,CI,Non-Extendor System-Increase from 12K to 16K"
CR3B,Contractural Combustion,Contractural Combustion,COMBUSTION,"INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","02-310.8, STD, CLEX,2042Tf,<2%stm CI from 12k to 32k hrs"
CR3C,Contractural Combustion,Contractural Combustion,,,"02-310.8, STD, CLEX, 2084Tf, <2%stm, CI from 12k to 24k hrs"
CR3D,Contractural Combustion,Contractural Combustion,,,"02-310.9, DLN,EXT/CLEX, 2042Tf,<2%stm,CI from 12k to 32k"
CR3E,Contractural Combustion,Contractural Combustion,,,"02-310.9, DLN,EXT/CLEX, 2084Tf,<2%stm,CI from 12k to 24k"
CR3F,Contractural Combustion,Contractural Combustion,,,"01-247.1,STD,non-EXT,2042Tf, CI from 12k to 16k hrs"
CR3G,Contractural Combustion,Contractural Combustion,COMBUSTION,STANDARD COMBUSTION ROBUST EXTENDOR [CR3G],"7EA, Std Combustion Robust Extendor"
CR3H,Contractural Combustion,Contractural Combustion,COMBUSTION,"INCREASE COMBUSTION INSPECTION INTERVAL FROM 12,000 HOURS TO 16,000 HOURS, TRANSFERLESS DRY LOW NOX [CR3H]","02-310.5,DLN,EXT,<=2072Tf,x-ferless,CI from 12k to 16k hrs"
CR3J,Contractural Combustion,Contractural Combustion,COMBUSTION,"INCREASE COMBUSTION INSPECTION INTERVAL FROM 12,000 HOURS TO 24,000 HOURS, DRY LOW NOX [CR3J]","02-310.6,DLN,EXT,<=2065Tf CI from 12k to 24k hours"
CR3K,Contractural Combustion,Contractural Combustion,COMBUSTION,"EXTENDED LIFE FOR DRY LOW NOX WITH 12,000 HOURS CI [CR3K HOURS]","00-852,DLN,Ext Life,2350Tf,CI=12k(not validated further)"
CR3L,Contractural Combustion,Contractural Combustion,COMBUSTION,"EXTENDED COMBUSTION INSPECTION INTERVAL TO 24,000 HOURS FOR DRY LOW NOX 2.6 [CR3L]","71FA+e,DLN2.6 Extended Interval Comb. System Upgrade"
CR3M,Contractural Combustion,Contractural Combustion,COMBUSTION,"INCREASE FUEL NOZZLE LIFE FROM 24,000 HOURS TO 48,000 HOURS [CR3M]","71FA/FA+/FA+e, Increase Fuel Nozzle Life from 24K to 48K"
CR3N,Contractural Combustion,Contractural Combustion,,,"01-496,DLN2.6,2420Tf, F/N from 24k to 48k, w/restrict"
