num,id_frame,desc_frameFam
1,12A,1/2
1,12B,1/2
1,12D,1/2
1,31A,3/1A-H
1,31B,3/1A-H
1,31C,3/1A-H
1,31D,3/1A-H
1,31F,3/1A-H
1,31G,3/1A-H
1,31H,3/1A-H
1,32A,3/2A-K
1,32B,3/2A-K
1,32C,3/2A-K
1,32D,3/2A-K
1,32E,3/2A-K
1,32F,3/2A-K
1,32F-HT,3/2A-K
1,32G,3/2A-K
1,32H,3/2A-K
1,32J,3/2A-K
1,32J-HT,3/2A-K
1,32JN,3/2A-K
1,32K,3/2A-K
1,51A,5/1A-RN
1,51B,5/1A-RN
1,51C,5/1A-RN
1,51D,5/1A-RN
1,51E,5/1A-RN
1,51F,5/1A-RN
1,51G,5/1A-RN
1,51H,5/1A-RN
1,51J,5/1A-RN
1,51K,5/1A-RN
1,51L,5/1A-RN
1,51LA,5/1A-RN
1,51M,5/1A-RN
1,51N,5/1A-RN
1,51P,5/1A-RN
1,51PA,5/1A-RN
1,51PN,5/1A-RN
1,51R,5/1A-RN
1,51RA,5/1A-RN
1,51RN,5/1A-RN
1,52A,5/2A-E
1,52B,5/2A-E
1,52C,5/2A-E
1,52D,5/2A-E
1,52E,5/2A-E
1,61A,6/1A-C
1,61B,6/1A-C
1,61C,6/1A-C
1,6F.01,6/1F
1,6FA.01,6/1FA
1,6FA.03,6/1FA
1,71A,7/1A-H
1,71B,7/1A-H
1,71C,7/1A-H
1,71E,7/1A-H
1,71EA,7/1A-H
1,7F.01,7/1F
1,7FA.01,7/1FA
1,7FA.02,7/1FA
1,7FA.03,7/1FA
1,7FA.04,7/1FA
1,7FA.05,7/1FA
1,7FB.01,7/1FB
1,7FBJ,7/1A-H
1,7H,7/1A-H
1,7HA.01,7/1HA
1,7HA.02,7/1HA
1,81B,8/1B
1,82D,8/2D-E
1,82E,8/2D-E
1,91A,9/1A-H
1,91B,9/1A-H
1,91E,9/1A-H
1,91EC,9/1A-H
1,91H,9/1A-H
1,9F.01,9/1F
1,9FA.01,9/1FA
1,9FA.02,9/1FA
1,9FA.03,9/1FA
1,9FB.01,9/1FB
1,9FB.02,9/1FB
1,9FB.05,9/1FB
1,9HA.01,9/1HA
1,9HA.02,9/1HA
1,GT08,GT08
1,GT08C,GT08
1,GT08C2,GT08
1,GT09,GT09
1,GT10,GT10
1,GT11,GT11
1,GT11L,GT11
1,GT11N,GT11
1,GT11N2,GT11
1,GT13,GT13
1,GT13E1,GT13
1,GT13E2,GT13
1,GT24,GT24
1,GT26,GT26
