id_frame,desc_frameFam
61A,6/1A-C
61B,6/1A-C
71A,7/1A-H
71B,7/1A-H
71E,7/1A-H
71EA,7/1A-H
91E,9/1A-H
7FA.01,7/1FA
7FA.02,7/1FA
7FA.03,7/1FA
7FA.04,7/1FA
9FA.03,9/1FA
9FA.01,9/1FA
31A,3/1A-H
31B,3/1A-H
31C,3/1A-H
31D,3/1A-H
31F,3/1A-H
31G,3/1A-H
31H,3/1A-H
32A,3/2A-K
32B,3/2A-K
32C,3/2A-K
32D,3/2A-K
32E,3/2A-K
32F,3/2A-K
32G,3/2A-K
32H,3/2A-K
32J,3/2A-K
51A,5/1A-RN
51B,5/1A-RN
51C,5/1A-RN
51D,5/1A-RN
51E,5/1A-RN
51F,5/1A-RN
51G,5/1A-RN
51H,5/1A-RN
51J,5/1A-RN
51K,5/1A-RN
51L,5/1A-RN
51LA,5/1A-RN
51M,5/1A-RN
51N,5/1A-RN
51P,5/1A-RN
51PA,5/1A-RN
51PN,5/1A-RN
51R,5/1A-RN
51RA,5/1A-RN
51RN,5/1A-RN
52A,5/2A-E
52B,5/2A-E
52C,5/2A-E
6FA.01,6/1FA
6FA.03,6/1FA
71C,7/1A-H
7F.01,7/1F
91A,9/1A-H
91B,9/1A-H
91EC,9/1A-H
91H,9/1A-H
9F.01,9/1F
7FB.01,7/1FB
61C,6/1A-C
9FB.02,9/1FB
7H,7/1A-H
7FA.05,7/1FA
32K,3/2A-K
52D,5/2A-E
52E,5/2A-E
7FBJ,7/1A-H
82D,8/2D-E
82E,8/2D-E
9FB.05,9/1FB
12A,1/2
12B,1/2
12D,1/2
,#N/A
32F-HT,3/2A-K
32J-HT,3/2A-K
81B,8/1B
9FA.02,9/1FA
