id_project,id_task,num_totalHours
6BDLN1PGOG1,0082,47
6BDLN1PGOG1,DOCS,0.5
7E32KSTDDFG1,0909001,3
7E32KSTDGOG1,DOCSA,1.5
9EDLN1PGOG1,DOCS,0.5
F2552G4,0086,24
F2552G4,0100AA,2
F2552G4,0124BKE,4
F2552G4,0331,10.95454545
F2552G4,0331FGE,6.227272727
F2552G4,0414,9.454545455
F2552G4,0414CRE,10.90909091
F2552G4,0427,73.68514851
F2552G4,0427001,84.72673267
F2552G4,0481,1
F2552G4,A245,48.65384615
F2552G4,A245EL,37.92307692
F2552G4,A245VD,42.07692308
F2552G4,A245VDRA,26.15384615
F2711G4,0124PSE,14
F2711G4,0470,1
F2711G4,A010PC,1
F2735G5,0010,10
F2735G5,0024,22
F2735G5,0026,1
F2735G5,1103,24
F2735G5,1218,64
F2735G5,1218VD,2
F3068G3,0218,204
F3068G3,0404,142
F3068G3,0805,324
F3068G3,1403,266
F3078G2,0010,3
F3078G2,0024,7
F3107G4,0100AA,1
F3107G4,0513BEEA,3
F3107G4,0701,25
F3107G4,0701,25
F3107G4,0703,25
F3107G4,0703,25
F3229G3,0100AA,3
F3229G3,0404,11
F3229G3,0797,20
F3229G3,A010,1
F3229G3,A010PC,2
F3229G4,A010,15.4
F3229G4,A010PC,21
F3411G3,0082,204
F3411G3,0086,33
F3411G3,0086A2C,0.1
F3411G3,0086A3C,0.1
F3411G3,0086AXC,5
F3411G3,0086AZC,6
F3411G3,0086CKC,0.1
F3411G3,0086EAC,0.1
F3411G3,0086EBC,0.1
F3411G3,0086ECC,0.1
F3411G3,0086EQC,0.1
F3411G3,0086ESC,0.1
F3411G3,0086EYC,0.1
F3411G3,0086FVC,4
F3411G3,0086FXC,4
F3411G3,0086GDC,1
F3411G3,0086H6C,2
F3411G3,0086HCC,4
F3411G3,0086HDC,1
F3411G3,0086HEC,1
F3411G3,0086HKC,1
F3411G3,0086LDC,2
F3411G3,0086LTC,2
F3411G3,0086LZC,2
F3411G3,0086NIC,2
F3411G3,0086NJC,3.6
F3411G3,0086TXC,2
F3411G3,0124BBE,6
F3411G3,0124BEE,6
F3411G3,0124BGE,15
F3411G3,0124EWE,6
F3411G3,0306,51
F3411G3,0313,22
F3411G3,0314,8
F3411G3,0326,29
F3411G3,0331,25
F3411G3,0331AAE,2
F3411G3,0331ABE,2
F3411G3,0331ACE,3
F3411G3,0331AGE,3
F3411G3,0331ALE,3
F3411G3,0331BDE,24
F3411G3,0331BEE,10
F3411G3,0331BGEA,2
F3411G3,0331BKE,6
F3411G3,0331EHE,1
F3411G3,0331FNE,2
F3411G3,0331GCE,1
F3411G3,0401001,41.5
F3411G3,0401001,41.5
F3411G3,0414CCE,6
F3411G3,0414CDE,20
F3411G3,0414CFE,4
F3411G3,0414CGE,1.5
F3411G3,0414CKE,2
F3411G3,0414CNE,4
F3411G3,0414CPE,6
F3411G3,0414CTE,1.5
F3411G3,0414DCE,10
F3411G3,0415,20
F3411G3,0416,14.54545455
F3411G3,0416001,9.890909091
F3411G3,0417,16
F3411G3,0418,8
F3411G3,0420,39.95294118
F3411G3,0420001,25.27058824
F3411G3,0421001,48.90909091
F3411G3,0421002,31.45454545
F3411G3,0421003,23.27272727
F3411G3,0422,22
F3411G3,0424,16
F3411G3,0425,12
F3411G3,0436,21
F3411G3,0442,30
F3411G3,0444001,22
F3411G3,0444001,22
F3411G3,0445,9
F3411G3,0463,11
F3411G3,0507VDS,3
F3411G3,0509VDS,1.5
F3411G3,0510VD,72
F3411G3,0510VDS,4.5
F3411G3,0510VDS,4.5
F3411G3,0511VD,12
F3411G3,0511VDS,4.5
F3411G3,0511VDS,4.5
F3411G3,0513,25.6
F3411G3,0516VD,57
F3411G3,0516VDS,3.5
F3411G3,0516VDS,3.5
F3411G3,0522001,16
F3411G3,0522VDA,48
F3411G3,0522VDSA,8
F3411G3,0522VDSA,8
F3411G3,0538001,16
F3411G3,0538VDA,58
F3411G3,0538VDSA,8.5
F3411G3,0538VDSA,8.5
F3411G3,0549001,4
F3411G3,0549VDA,2
F3411G3,0549VDSA,2
F3411G3,0566,1.6
F3411G3,0572VDS,2.5
F3411G3,0601001,12
F3411G3,0601VDS,5
F3411G3,0602001,8
F3411G3,0603001,16
F3411G3,0603VDA,34
F3411G3,0603VDSA,8.5
F3411G3,0603VDSA,8.5
F3411G3,0605001,8
F3411G3,0605VDA,62
F3411G3,0605VDSA,9
F3411G3,0605VDSA,9
F3411G3,0606001,4
F3411G3,0607VD,1
F3411G3,0607VDS,4.5
F3411G3,0607VDS,4.5
F3411G3,0611VD,1
F3411G3,0611VDS,4.5
F3411G3,0611VDS,4.5
F3411G3,0624001,8
F3411G3,0701001,0.3
F3411G3,0703,1.1
F3411G3,0904001,2
F3411G3,0908,82
F3411G3,0909,156
F3411G3,0916001,12
F3411G3,0919001,30
F3411G3,0926,22.3
F3411G3,0926001,15.5
F3411G3,0962,115
F3411G3,0963,11
F3411G3,0967001,2
F3411G3,0969,69
F3411G3,0973001,4
F3411G3,0973001,4
F3411G3,0991VD,8
F3411G3,0991VDS,7
F3411G3,0991VDS,7
F3411G3,1003VD,1
F3411G3,1003VDS,4.5
F3411G3,1003VDS,4.5
F3411G3,1014VDS,6
F3411G3,1047VDS,6
F3411G3,1104001,15
F3411G3,1104001,15
F3411G3,1105,6
F3411G3,1110001,50
F3411G3,1114001,5.5
F3411G3,1114001,5.5
F3411G3,1121VD,13
F3411G3,1121VDS,2.5
F3411G3,1213VD,13
F3411G3,1213VDS,7
F3411G3,1605,39
F3411G3,1643,7
F3411G3,1643VD,4
F3411G3,1643VDS,7
F3411G3,557T,4
F3411G3,557TVD,14.5
F3411G3,557TVDS,5.5
F3411G3,557TVDS,5.5
F3411G3,A010PC,13.3
F3411G3,A010PC001,7.5
F3411G3,A019,8.5
F3411G3,A019VD,16
F3411G3,A019VDS,2.5
F3411G3,A019VDS,2.5
F3411G3,A042001,27
F3411G3,A042VDA,4
F3411G3,A042VDSA,5
F3411G3,A125001,1
F3411G4,0017BTE,8
F3411G4,0017CBE,3
F3411G4,0017CCE,3
F3411G4,0017CEE,3
F3411G4,0017CHE,3
F3411G4,0017CIE,2
F3411G4,0017CKE,9
F3411G4,0017HFE,8
F3411G4,0026,1
F3411G4,0086,103
F3411G4,0086AZC,2
F3411G4,0086CQC,3
F3411G4,0086F2C,3
F3411G4,0086FVC,2
F3411G4,0086FWC,3
F3411G4,0086HDC,2
F3411G4,0086HKC,3
F3411G4,0086LBC,2
F3411G4,0086LDC,3
F3411G4,0086LZC,3
F3411G4,0086NJC,8
F3411G4,0124BBE,5
F3411G4,0124BCE,5
F3411G4,0124BEE,24
F3411G4,0124BFE,9
F3411G4,0124BGE,29
F3411G4,0124BHE,4
F3411G4,0124BME,4
F3411G4,0124BPE,9
F3411G4,0124BSE,2
F3411G4,0124BXE,8
F3411G4,0124CEE,9
F3411G4,0124EWE,3
F3411G4,0124FBE,11
F3411G4,0124FCE,11
F3411G4,0124FVE,2
F3411G4,0124GBE,8
F3411G4,0124IBE,12
F3411G4,0124KAE,4
F3411G4,0124PSE,12
F3411G4,0302,27
F3411G4,0306,45
F3411G4,0313,45
F3411G4,0326,78
F3411G4,0331,37
F3411G4,0331AME,3
F3411G4,0331BBE,3
F3411G4,0331BDE,9
F3411G4,0331BEE,3
F3411G4,0331BFE,3
F3411G4,0331DDE,31
F3411G4,0331EHE,4
F3411G4,0331FNE,3
F3411G4,0331FUE,3
F3411G4,0331GCE,4
F3411G4,0401,80
F3411G4,0414CGE,9
F3411G4,0414CTE,17
F3411G4,0415,39
F3411G4,0416,9
F3411G4,0417,14.7
F3411G4,0417001,18.3
F3411G4,0418,11
F3411G4,0420,23
F3411G4,0422,46
F3411G4,0424,25
F3411G4,0425,17
F3411G4,0432,16
F3411G4,0436,26
F3411G4,0442,18
F3411G4,0445,99
F3411G4,0471,7
F3411G4,0474,35
F3411G4,0492,87
F3411G4,0507,12
F3411G4,0507VD,15
F3411G4,0509,12
F3411G4,0509VD,36
F3411G4,0513,12
F3411G4,0566,129.8113478
F3411G4,0566001,220.8510287
F3411G4,0566001,220.8510287
F3411G4,0566002,145.5413215
F3411G4,0572,21.6
F3411G4,0572001,14.4
F3411G4,0572VD,32
F3411G4,0585,18
F3411G4,0601,9
F3411G4,0601VD,2
F3411G4,0637,11
F3411G4,0701,28
F3411G4,0702,20
F3411G4,0703,26
F3411G4,0717,19
F3411G4,0719,18
F3411G4,0901,31
F3411G4,0908,59
F3411G4,0909,5
F3411G4,0910,18
F3411G4,0915,73
F3411G4,0924,16
F3411G4,0926,18
F3411G4,0956,30
F3411G4,0961,9
F3411G4,0962,358
F3411G4,0963,67
F3411G4,0965,16
F3411G4,0969,43
F3411G4,0972,18
F3411G4,0983,17
F3411G4,0987,9
F3411G4,0991,228
F3411G4,0991VD,18
F3411G4,0991VDS,7
F3411G4,1003,19
F3411G4,1003VD,2
F3411G4,1044,10
F3411G4,1103,17
F3411G4,1105,87
F3411G4,1121,11
F3411G4,1127,15
F3411G4,1213,26
F3411G4,1213VD,28
F3411G4,1214,19
F3411G4,1605,18
F3411G4,1643,72
F3411G4,1643VD,4
F3411G4,557T,42
F3411G4,557TVD,2
F3411G4,A010PC,8
F3411G4,A019,18
F3411G4,A019VD,12
F3411G4,A019VDS,3
F3411G4,A040,7
F3411G4,A041,18
F3411G4,A122,30
F3411G4,A179,18
F3411G4,A184,9
F3411G5,0086,1
F3411G5,4108,1
F3411G5,A010PC,8
F3411G5,A108VDS,4
F3411G6,0026,2
F3411G6,0026,2
F3411G6,0086,50
F3411G6,0124PSE,8
F3411G6,4108,1
F3411G6,A014VDS,3
F3411G7,0017CBE,2
F3411G7,0017CCE,4
F3411G7,0017CDE,2
F3411G7,0017CEE,4
F3411G7,0017CHE,2
F3411G7,0017CKE,3
F3411G7,0017GSE,1
F3411G7,0017HFE,7
F3411G7,0082,656
F3411G7,0082,656
F3411G7,0086,9
F3411G7,0086AXC,2
F3411G7,0086AZC,5
F3411G7,0086CKC,3.5
F3411G7,0086CQC,5
F3411G7,0086EAC,2
F3411G7,0086EBC,2
F3411G7,0086ECC,2
F3411G7,0086EQC,2
F3411G7,0086ESC,2
F3411G7,0086EYC,2
