num_num,id_req,id_frame
1,CR3A,61A
1,CR3A,61B
1,CR3B,61A
1,CR3B,61B
1,CR3B,71A
1,CR3B,71B
1,CR3B,71E
1,CR3B,71EA
1,CR3B,91E
1,CR3C,61A
1,CR3C,61B
1,CR3D,61A
1,CR3D,61B
1,CR3E,61A
1,CR3E,61B
1,CR3F,61A
1,CR3F,61B
1,CR3G,71E
1,CR3G,71EA
1,CR3H,71E
1,CR3H,71EA
1,CR3J,91E
1,CR3K,7FA.01
1,CR3L,61A
1,CR3L,61B
1,CR3L,7FA.01
1,CR3L,7FA.02
1,CR3L,7FA.03
1,CR3L,7FA.04
1,CR3M,7FA.01
1,CR3M,7FA.02
1,CR3M,7FA.03
1,CR3N,7FA.02
1,CR3N,7FA.03
1,CR3P,7FA.02
1,CR3P,7FA.03
1,CR3Q,91E
1,CR3Q,9FA.03
1,CR3R,7FA.02
1,CR3R,7FA.03
1,CR3S,9FA.01
1,CR3T,7FA.01
1,CR3T,7FA.02
1,CR3T,7FA.03
1,FA1A,31A
1,FA1A,31B
1,FA1A,31C
1,FA1A,31D
1,FA1A,31F
1,FA1A,31G
1,FA1A,31H
1,FA1A,32A
1,FA1A,32B
1,FA1A,32C
1,FA1A,32D
1,FA1A,32E
1,FA1A,32F
1,FA1A,32G
1,FA1A,32H
1,FA1A,32J
1,FA1A,51A
1,FA1A,51B
1,FA1A,51C
1,FA1A,51D
1,FA1A,51E
1,FA1A,51F
1,FA1A,51G
1,FA1A,51H
1,FA1A,51J
1,FA1A,51K
1,FA1A,51L
1,FA1A,51LA
1,FA1A,51M
1,FA1A,51N
1,FA1A,51P
1,FA1A,51PA
1,FA1A,51PN
1,FA1A,51R
1,FA1A,51RA
1,FA1A,51RN
1,FA1A,52A
1,FA1A,52B
1,FA1A,52C
1,FA1A,61A
1,FA1A,61B
1,FA1A,6FA.01
1,FA1A,6FA.03
1,FA1A,71A
1,FA1A,71B
1,FA1A,71C
1,FA1A,71E
1,FA1A,71EA
1,FA1A,7F.01
1,FA1A,7FA.01
1,FA1A,7FA.02
1,FA1A,7FA.03
1,FA1A,91A
1,FA1A,91B
1,FA1A,91E
1,FA1A,91EC
1,FA1A,91H
1,FA1A,9F.01
1,FA1A,9FA.01
1,FA1A,9FA.03
1,FA1B,31A
1,FA1B,31B
1,FA1B,31C
1,FA1B,31D
1,FA1B,31F
1,FA1B,31G
1,FA1B,31H
1,FA1B,32A
1,FA1B,32B
1,FA1B,32C
1,FA1B,32D
1,FA1B,32E
1,FA1B,32F
1,FA1B,32G
1,FA1B,32H
1,FA1B,32J
1,FA1B,51A
1,FA1B,51B
1,FA1B,51C
1,FA1B,51D
1,FA1B,51E
1,FA1B,51F
1,FA1B,51G
1,FA1B,51H
1,FA1B,51J
1,FA1B,51K
1,FA1B,51L
1,FA1B,51LA
1,FA1B,51M
1,FA1B,51N
1,FA1B,51P
1,FA1B,51PA
1,FA1B,51PN
1,FA1B,51R
1,FA1B,51RA
1,FA1B,51RN
1,FA1B,52A
1,FA1B,52B
1,FA1B,52C
1,FA1B,61A
1,FA1B,61B
1,FA1B,71A
1,FA1B,71B
1,FA1B,71C
1,FA1B,71E
1,FA1B,71EA
1,FA1B,7F.01
1,FA1B,7FA.01
1,FA1B,7FA.02
1,FA1B,7FA.03
1,FA1B,91A
1,FA1B,91B
1,FA1B,91E
1,FA1B,91EC
1,FA1B,91H
1,FA1B,9F.01
1,FA1B,9FA.01
1,FA1B,9FA.03
1,FA1C,31A
1,FA1C,31B
1,FA1C,31C
1,FA1C,31D
1,FA1C,31F
1,FA1C,31G
1,FA1C,31H
1,FA1C,32A
1,FA1C,32B
1,FA1C,32C
1,FA1C,32D
1,FA1C,32E
1,FA1C,32F
1,FA1C,32G
1,FA1C,32H
1,FA1C,32J
1,FA1C,51A
1,FA1C,51B
1,FA1C,51C
1,FA1C,51D
1,FA1C,51E
1,FA1C,51F
1,FA1C,51G
1,FA1C,51H
1,FA1C,51J
1,FA1C,51K
1,FA1C,51L
1,FA1C,51LA
1,FA1C,51M
1,FA1C,51N
1,FA1C,51P
1,FA1C,51PA
1,FA1C,51PN
1,FA1C,51R
1,FA1C,51RA
1,FA1C,51RN
1,FA1C,52A
1,FA1C,52B
1,FA1C,52C
1,FA1C,61A
1,FA1C,61B
1,FA1C,71A
1,FA1C,71B
1,FA1C,71C
1,FA1C,71E
1,FA1C,71EA
1,FA1C,7F.01
1,FA1C,7FA.01
1,FA1C,7FA.02
1,FA1C,7FA.03
1,FA1C,91A
1,FA1C,91B
1,FA1C,91E
1,FA1C,91EC
1,FA1C,91H
1,FA1C,9F.01
1,FA1C,9FA.01
1,FA1C,9FA.03
1,FA1D,31A
1,FA1D,31B
1,FA1D,31C
1,FA1D,31D
1,FA1D,31F
1,FA1D,31G
1,FA1D,31H
1,FA1D,32A
1,FA1D,32B
1,FA1D,32C
1,FA1D,32D
1,FA1D,32E
1,FA1D,32F
1,FA1D,32G
1,FA1D,32H
1,FA1D,32J
1,FA1D,51A
1,FA1D,51B
1,FA1D,51C
1,FA1D,51D
1,FA1D,51E
1,FA1D,51F
1,FA1D,51G
1,FA1D,51H
1,FA1D,51J
1,FA1D,51K
1,FA1D,51L
1,FA1D,51LA
1,FA1D,51M
1,FA1D,51N
1,FA1D,51P
1,FA1D,51PA
1,FA1D,51PN
1,FA1D,51R
1,FA1D,51RA
1,FA1D,51RN
1,FA1D,52A
1,FA1D,52B
1,FA1D,52C
1,FA1D,61A
1,FA1D,61B
1,FA1D,6FA.01
1,FA1D,6FA.03
1,FA1D,71A
1,FA1D,71B
1,FA1D,71C
1,FA1D,71E
1,FA1D,71EA
1,FA1D,7F.01
1,FA1D,7FA.01
1,FA1D,7FA.02
1,FA1D,7FA.03
1,FA1D,91A
1,FA1D,91B
1,FA1D,91E
1,FA1D,91EC
1,FA1D,91H
1,FA1D,9F.01
1,FA1D,9FA.01
1,FA1D,9FA.03
1,FA1E,31A
1,FA1E,31B
1,FA1E,31C
1,FA1E,31D
1,FA1E,31F
1,FA1E,31G
1,FA1E,31H
1,FA1E,32A
1,FA1E,32B
1,FA1E,32C
1,FA1E,32D
1,FA1E,32E
1,FA1E,32F
1,FA1E,32G
1,FA1E,32H
1,FA1E,32J
1,FA1E,51A
1,FA1E,51B
1,FA1E,51C
1,FA1E,51D
1,FA1E,51E
1,FA1E,51F
1,FA1E,51G
1,FA1E,51H
1,FA1E,51J
1,FA1E,51K
1,FA1E,51L
1,FA1E,51LA
1,FA1E,51M
1,FA1E,51N
1,FA1E,51P
1,FA1E,51PA
1,FA1E,51PN
1,FA1E,51R
1,FA1E,51RA
1,FA1E,51RN
1,FA1E,52A
1,FA1E,52B
1,FA1E,52C
1,FA1E,61A
1,FA1E,61B
1,FA1E,6FA.01
1,FA1E,6FA.03
1,FA1E,71A
1,FA1E,71B
1,FA1E,71C
1,FA1E,71E
1,FA1E,71EA
1,FA1E,7F.01
1,FA1E,7FA.01
1,FA1E,7FA.02
1,FA1E,7FA.03
1,FA1E,91A
1,FA1E,91B
1,FA1E,91E
1,FA1E,91EC
1,FA1E,91H
1,FA1E,9F.01
1,FA1E,9FA.01
1,FA1E,9FA.03
1,FA1F,31A
1,FA1F,31B
1,FA1F,31C
1,FA1F,31D
1,FA1F,31F
1,FA1F,31G
1,FA1F,31H
1,FA1F,32A
1,FA1F,32B
1,FA1F,32C
