num,id_req,id_baseReq
1,CR3A,CR3A
1,CR3B,CR3B
1,CR3C,CR3C
1,CR3D,CR3D
1,CR3E,CR3E
1,CR3F,CR3F
1,CR3G,CR3G
1,CR3H,CR3H
1,CR3J,CR3J
1,CR3K,CR3K
1,CR3L,CR3L
1,CR3M,CR3M
1,CR3N,CR3N
1,CR3P,CR3P
1,CR3Q,CR3Q
1,CR3R,CR3R
1,CR3S,CR3S
1,CR3T,CR3T
1,FA1A,FA1A
1,FA1B,FA1B
1,FA1C,FA1C
1,FA1D,FA1D
1,FA1E,FA1E
1,FA1F,FA1F
1,FA1G,FA1G
1,FA1H,FA1H
1,FA1J,FA1J
1,FA1K,FA1K
1,FA1L,FA1L
1,FA1M,FA1M
1,FA1N,FA1N
1,FA1P,FA1P
1,FA1Q,FA1Q
1,FA1R,FA1R
1,FA1S,FA1S
1,FA1T,FA1T
1,FA1U,FA1U
1,FA1UA,FA1U
1,FA1UB,FA1U
1,FA1W,FA1W
1,FA1X,FA1X
1,FA1Y,FA1Y
1,FA2A,FA2A
1,FA2B,FA2B
1,FA2C,FA2C
1,FA2D,FA2D
1,FA2E,FA2E
1,FA2F,FA2F
1,FA2G,FA2G
1,FA2H,FA2H
1,FA2J,FA2J
1,FA2L,FA2L
1,FA2M,FA2M
1,FA3A,FA3A
1,FA3B,FA3B
1,FA3C,FA3C
1,FA3D,FA3D
1,FA3E,FA3E
1,FA3F,FA3F
1,FA3G,FA3G
1,FA3H,FA3H
1,FA3I,FA3I
1,FA3J,FA3J
1,FA3K,FA3K
1,FA3L,FA3L
1,FA3M,FA3M
1,FA3N,FA3N
1,FA3O,FA3O
1,FA3P,FA3P
1,FA3Q,FA3Q
1,FA3R,FA3R
1,FA3S,FA3S
1,FA3T,FA3T
1,FA3U,FA3U
1,FA4A,FA4A
1,FA4B,FA4B
1,FA4C,FA4C
1,FA4D,FA4D
1,FA4E,FA4E
1,FA4F,FA4F
1,FA4G,FA4G
1,FA4H,FA4H
1,FA4J,FA4J
1,FA5A,FA5A
1,FA5B,FA5B
1,FA5C,FA5C
1,FA5D,FA5D
1,FA5E,FA5E
1,FA6A,FA6A
1,FA6B,FA6B
1,FA6C,FA6C
1,FA6D,FA6D
1,FB1A,FB1A
1,FB1B,FB1B
1,FB1C,FB1C
1,FB1D,FB1D
1,FB1E,FB1E
1,FB1F,FB1F
1,FB1G,FB1G
1,FB2A,FB2A
1,FB2B,FB2B
1,FB2C,FB2C
1,FB2D,FB2D
1,FB2E,FB2E
1,FB2F,FB2F
1,FB2G,FB2G
1,FB2H,FB2H
1,FB2J,FB2J
1,FB2K,FB2K
1,FB2L,FB2L
1,FB2M,FB2M
1,FB3A,FB3A
1,FB3L,FB3L
1,FC1A,FC1A
1,FC1B,FC1B
1,FC1C,FC1C
1,FC1D,FC1D
1,FC1E,FC1E
1,FC1F,FC1F
1,FC1G,FC1G
1,FC1H,FC1H
1,FC1J,FC1J
1,FC1K,FC1K
1,FC1L,FC1L
1,FC1M,FC1M
1,FC2A,FC2A
1,FC2B,FC2B
1,FC2C,FC2C
1,FC2D,FC2D
1,FC2E,FC2E
1,FC2F,FC2F
1,FC2G,FC2G
1,FC3A,FC3A
1,FC3B,FC3B
1,FC3C,FC3C
1,FC3D,FC3D
1,FC3E,FC3E
1,FC3F,FC3F
1,FC3G,FC3G
1,FC3H,FC3H
1,FC3J,FC3J
1,FC3K,FC3K
1,FC4A,FC4A
1,FC4B,FC4B
1,FC4C,FC4C
1,FC4D,FC4D
1,FC4E,FC4E
1,FC4F,FC4F
1,FC4G,FC4G
1,FC4H,FC4H
1,FC4J,FC4J
1,FC4K,FC4K
1,FC4L,FC4L
1,FC4M,FC4M
1,FC4N,FC4N
1,FC4O,FC4O
1,FC5B,FC5B
1,FD1A,FD1A
1,FD1B,FD1B
1,FD1C,FD1C
1,FD1D,FD1D
1,FD1E,FD1E
1,FD1F,FD1F
1,FD2A,FD2A
1,FD2B,FD2B
1,FD2C,FD2C
1,FD2D,FD2D
1,FD2E,FD2E
1,FD2F,FD2F
1,FD2G,FD2G
1,FD2H,FD2H
1,FD2N,FD2N
1,FD2P,FD2P
1,FD2QA,FD2Q
1,FD2QB,FD2Q
1,FD2QC,FD2Q
1,FD2QD,FD2Q
1,FD2QE,FD2Q
1,FD2QF,FD2Q
1,FD2QG,FD2Q
1,FD2QH,FD2Q
1,FD2QI,FD2Q
1,FD2RA,FD2R
1,FD2RB,FD2R
1,FD2RC,FD2R
1,FD2RD,FD2R
1,FD2RE,FD2R
1,FD3A,FD3A
1,FD3B,FD3B
1,FD3C,FD3C
1,FD3D,FD3D
1,FD3E,FD3E
1,FD3F,FD3F
1,FD3G,FD3G
1,FD4A,FD4A
1,FD4B,FD4B
1,FD4C,FD4C
1,FD4D,FD4D
1,FD4E,FD4E
1,FD4F,FD4F
1,FD4G,FD4G
1,FD4H,FD4H
1,FD4J,FD4J
1,FD4K,FD4K
1,FD4L,FD4L
1,FD4M,FD4M
1,FD4N,FD4N
1,FD5A,FD5A
1,FD5B,FD5B
1,FD5C,FD5C
1,FD5D,FD5D
1,FD5E,FD5E
1,FD5F,FD5F
1,FD6A,FD6A
1,FD6B,FD6B
1,FD6C,FD6C
1,FD6D,FD6D
1,FD6E,FD6E
1,FD6F,FD6F
1,FD6G,FD6G
1,FD6H,FD6H
1,FD6J,FD6J
1,FD6K,FD6K
1,FD6L,FD6L
1,FD7A,FD7A
1,FE1A,FE1A
