"","id_req","desc_cat1","desc_cat2","desc_cat3","desc_cat4","id_frame","id_project"
"1","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F6737G8"
"2","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","71B","F7000G6"
"3","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","71E","F7000G7"
"4","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F6835G4"
"5","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F7464G6"
"6","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","61B","F7381G4"
"7","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F6835G5"
"8","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","71E","F7000G6"
"9","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","61B","F7381G3"
"10","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","61B","F6051G7"
"11","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F7464G7"
"12","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","71EA","F7000G8"
"13","CR3B","Contractural Combustion","Contractural Combustion","COMBUSTION","INCREASE COMBUSTION INSPECTION INTERVAL TO 32,000 HOURS, NON-DRY LOW NOX [CR3B]","91E","F7464G1"
"14","CR3L","Contractural Combustion","Contractural Combustion","COMBUSTION","EXTENDED COMBUSTION INSPECTION INTERVAL TO 24,000 HOURS FOR DRY LOW NOX 2.6 [CR3L]","7FA.04","F6179G13"
