id_task,id_subtask
0017,0017REQ
0102,0102LL
0103,0103LL
0103,0103VD
0103,0103VDR
0103,0103VDS
0104,0104BAE
0104,0104CTE
0104,0104LL
0104,0104RTE
0104,0104STE
0104,0104TTE
0106,0106CCE
0106,0106HCE
0106,0106ICE
0106,0106LCE
0106,0106LL
0106,0106PCE
0106,0106TCE
0132,0132CSA
0132,0132DRM
0132,0132PSA
0132,0132SAT
0132,0132SATDOC
0132,0132SME
0132,0132SRA
0132,0132U
0207,0207LL
0218,0218LL
0219,0219LL
0225,0225LL
0331,0331KAE
0415,0017HLE
0415,0132AC
0415,0414CTE
0416,0017CBE
0416,0124BBE
0416,0414CNE
0417,0017CIE
0417,0124BCE
0417,0414CKE
0418,0017CHE
0418,0124EWE
0418,0132AD
0418,0414CFE
0419,0017DBE
0419,0124BDE
0419,0414CVE
0420,0017CCE
0420,0124BEE
0420,0414CPE
0421,0017CAE
0421,0124FKE
0421,0414CBE
0422,0017CEE
0422,0124BFE
0422,0132AE
0422,0414CDE
0424,0017CDE
0424,0124BGE
0424,0132AF
0424,0414CCE
0425,0017CFE
0425,0124BHE
0425,0414CEE
0426,0017CJE
0426,0124BJE
0426,0132AG
0426,0414CLE
0427,0124BKE
0427,0414CRE
0429,0414CWE
0430,0414CXE
0431,0017CNE
0431,0124BLE
0431,0414CYE
0432,0124BME
0432,0414DJE
0433,0414DAE
0434,0017CGE
0434,0124EXE
0434,0414CHE
0436,0017CKE
0436,0124BNE
0436,0132AH
0436,0414CME
0441,0017COE
0441,0414DBE
0442,0124BPE
0442,0414DCE
0447,0414DNE
0448,0414DOE
0453,0414GXE
0460,0414DQE
0461,0124EYE
0461,0414DRE
0462,0017CME
0462,0124BQE
0462,0414CSE
0464,0414DDE
0468,0017CPE
0468,0414DTE
0469,0017AOE
0469,0124EZE
0469,0414CJE
0471,0017CSE
0471,0124BRE
0471,0414CZE
0474,0017BTE
0474,0124BSE
0474,0132AI
0474,0414DVE
0477,0017PAE
0477,0124BTE
0477,0414DWE
0478,0414DXE
0479,0017CXE
0479,0414DYE
0480,0124DOE
0480,0414DZE
0482,0017IBE
0484,0017DCE
0484,0414EDE
0485,0414EEE
0488,0414EGE
0492,0017GSE
0492,0124IHE
0492,0414CGE
0497,0017EGE
0497,0414EME
0498,0414ENE
0499,0414EPE
0502,0502LL
0507,0069AKP1E
0507,0069AKP1S
0507,0132AJ
0507,0507LL
0507,0507VD
0507,0507VDR
0507,0507VDS
0508,0508LL
0508,0508VD
0508,0508VDR
0508,0508VDS
0509,0069ALP1E
0509,0069ALP1S
0509,0132AK
0509,0509LL
0509,0509VD
0509,0509VDR
0509,0509VDS
0510,0510LL
0510,0510VD
0510,0510VDR
0510,0510VDS
0511,0511LL
0511,0511VD
0511,0511VDR
0511,0511VDS
0512,0124BXE
0512,0512BEE
0512,0512LL
0513,0513BEE
0513,0513LL
0514,0514BEE
0514,0514LL
0516,0516LL
0516,0516VD
0516,0516VDR
0516,0516VDS
0520,0520LL
0522,0522LL
0522,0522VD
0522,0522VDR
0522,0522VDS
0525,0525LL
0531,0531LL
0533,0533LL
0538,0538LL
0538,0538VD
0538,0538VDR
0538,0538VDS
0540,0540LL
0540,0540VD
0540,0540VDR
0540,0540VDS
0544,0544LL
0546,0069AGP1E
0546,0069AGP1S
0546,0132AL
0546,0546VD
0546,0546VDR
0546,0546VDS
0547,0547LL
0548,0017JQE
0548,0069ACP1E
0548,0069ACP1S
0548,0548LL
0548,0548VD
0548,0548VDR
0548,0548VDS
0549,0549LL
0549,0549VD
0549,0549VDR
0549,0549VDS
0557,0069AMP1E
0557,0069AMP1S
0557,0124GXE
0557,0557VD
0557,0557VDR
0557,0557VDS
0559,0124FAE
0559,0331GNE
0559,0559LL
0559,0559VD
0559,0559VDR
0559,0559VDS
0564,0564LL
0564,0564VD
0564,0564VDR
0564,0564VDS
0566,0566LL
0567,0567LL
0567,0567VD
0567,0567VDR
0567,0567VDS
0570,0570LL
0570,0570VD
0570,0570VDR
0570,0570VDS
0572,0069BQP1E
0572,0069BQP1S
0572,0132AM
0572,0331FNE
0572,0572LL
0572,0572VD
0572,0572VDR
0572,0572VDS
0573,0573LL
0576,0576LL
0576,0576VD
0576,0576VDR
0576,0576VDS
0577,0577LL
0577,0577VD
0577,0577VDR
0577,0577VDS
0581,0581LL
0581,0581VD
0581,0581VDR
0581,0581VDS
0582,0582LL
0582,0582VD
0582,0582VDR
0582,0582VDS
0583,0414GYE
0583,0583LL
0583,0583VD
0583,0583VDR
0583,0583VDS
0585,0069BSP1E
0585,0069BSP1S
0585,0132AX
0585,0331AWE
0585,0585LL
0585,0585VD
0585,0585VDR
0585,0585VDS
0601,0601LL
0601,0601VD
0601,0601VDR
0601,0601VDS
0602,0602LL
0603,0069BTP1E
0603,0069BTP1S
0603,0603LL
0603,0603VD
0603,0603VDR
0603,0603VDS
0605,0069BUP1E
0605,0069BUP1S
0605,0605LL
0605,0605VD
0605,0605VDR
0605,0605VDS
0606,0606LL
0607,0607LL
0607,0607VD
0607,0607VDR
0607,0607VDS
0611,0611LL
0611,0611VD
0611,0611VDR
0611,0611VDS
0613,0613LL
0613,0613VD
0613,0613VDR
0613,0613VDS
0614,0614LL
0614,0614VD
0614,0614VDR
0614,0614VDS
0623,0017DXE
0623,0069BMP1E
0623,0069BMP1S
0623,0331EGE
0623,0414TJE
0623,0623LL
0624,0624LL
0627,0124HFE
0627,0627LL
0627,0627VD
0627,0627VDR
0627,0627VDS
0628,0628LL
0628,0628VD
0628,0628VDR
0628,0628VDS
0637,0069AEP1E
0637,0069AEP1S
0637,0132AN
0637,0637LL
0637,0637VD
0637,0637VDR
0637,0637VDS
0639,0124FJE
0639,0132AO
0639,0331FAE
0639,0639LL
0639,0639VD
0639,0639VDR
0639,0639VDS
0644,0644LL
0650,0331EME
0650,0650LL
0650,0650VD
0650,0650VDR
0650,0650VDS
0701,0017HFE
0701,0701LL
0702,0702LL
0703,0703LL
0705,0069AWP1E
0705,0069AWP1S
0705,0124BYE
0705,0705LL
0706,0124BZE
0706,0706LL
0712,0124CAE
0712,0712LL
0717,0717LL
0719,0719LL
0722,0722LL
0724,0724LL
0725,0725LL
0726,0726LL
0727,0727LL
0796,0796LL
0797,0797LL
0798,0798LL
0799,0799LL
0801,0124CBE
0801,0801LL
0802,0069AYP1E
0802,0069AYP1S
0802,0124CCE
0802,0802LL
0803,0803LL
0805,0069AZP1E
0805,0069AZP1S
0805,0124CDE
0805,0805LL
0811,0811LL
0812,0124GGE
0812,0812LL
0813,0813LL
