num,id_task
1,0010
1,0017
1,0017AOE
1,0017AQE
1,0017BQE
1,0017BTE
1,0017CAE
1,0017CBE
1,0017CCE
1,0017CDE
1,0017CEE
1,0017CFE
1,0017CGE
1,0017CHE
1,0017CIE
1,0017CJE
1,0017CKE
1,0017CLE
1,0017CME
1,0017CNE
1,0017COE
1,0017CPE
1,0017CRE
1,0017CSE
1,0017CXE
1,0017DBE
1,0017DCE
1,0017DFE
1,0017DKE
1,0017DXE
1,0017EGE
1,0017EZE
1,0017FIE
1,0017GQE
1,0017GSE
1,0017GZE
1,0017HAE
1,0017HFE
1,0017HLE
1,0017HPE
1,0017HQE
1,0017HXE
1,0017IBE
1,0017JQE
1,0017LAE
1,0017LHE
1,0017PAE
1,0017REQ
1,0017SSE
1,0017TOC
1,0017WEE
1,0024
1,0026
1,0065
1,0067
1,0069
1,0069AAP1E
1,0069AAP1S
1,0069ABP1E
1,0069ABP1S
1,0069ACP1E
1,0069ACP1S
1,0069ADP1E
1,0069ADP1S
1,0069AEP1E
1,0069AEP1S
1,0069AFP1E
1,0069AFP1S
1,0069AGP1E
1,0069AGP1S
1,0069AHP1E
1,0069AHP1S
1,0069AIP1E
1,0069AIP1S
1,0069AKP1E
1,0069AKP1S
1,0069ALP1E
1,0069ALP1S
1,0069AMP1E
1,0069AMP1S
1,0069ANP1E
1,0069ANP1S
1,0069AOP1E
1,0069AOP1S
1,0069APP1E
1,0069APP1S
1,0069AQP1E
1,0069AQP1S
1,0069ARP1E
1,0069ARP1S
1,0069ASP1E
1,0069ASP1S
1,0069ATP1E
1,0069ATP1S
1,0069AUP1E
1,0069AUP1S
1,0069AWP1E
1,0069AWP1S
1,0069AYP1E
1,0069AYP1S
1,0069AZP1E
1,0069AZP1S
1,0069BAP1E
1,0069BAP1S
1,0069BBP1E
1,0069BBP1S
1,0069BCP1E
1,0069BCP1S
1,0069BDP1E
1,0069BDP1S
1,0069BEP1E
1,0069BEP1S
1,0069BFP1E
1,0069BFP1S
1,0069BGP1E
1,0069BGP1S
1,0069BHP1E
1,0069BHP1S
1,0069BIP1E
1,0069BIP1S
1,0069BJP1E
1,0069BJP1S
1,0069BKP1E
1,0069BKP1S
1,0069BLP1E
1,0069BLP1S
1,0069BMP1E
1,0069BMP1S
1,0069BNP1E
1,0069BNP1S
1,0069BOP1E
1,0069BOP1S
1,0069BQP1E
1,0069BQP1S
1,0069BRP1E
1,0069BRP1S
1,0069BSP1E
1,0069BSP1S
1,0069BTP1E
1,0069BTP1S
1,0069BUP1E
1,0069BUP1S
1,0069BVP1E
1,0069BVP1S
1,0069BWP1E
1,0069BWP1S
1,0069BXP1E
1,0069BXP1S
1,0069BYP1E
1,0069BYP1S
1,0069CAP1E
1,0069CAP1S
1,0069CBP1E
1,0069CBP1S
1,0069CCP1E
1,0069CCP1S
1,0069CDP1E
1,0069CDP1S
1,0069CEP1E
1,0069CEP1S
1,0069CFP1E
1,0069CFP1S
1,0069CGP1E
1,0069CGP1S
1,0069CHP1E
1,0069CHP1S
1,0069CIP1E
1,0069CIP1S
1,0069CJP1E
1,0069CJP1S
1,0069CKP1E
1,0069CKP1S
1,0069CLP1E
1,0069CLP1S
1,0069CMP1E
1,0069CMP1S
1,0069CNP1E
1,0069CNP1S
1,0069COP1E
1,0069COP1S
1,0069CPP1E
1,0069CPP1S
1,0069CRP1E
1,0069CRP1S
1,0069CSP1E
1,0069CSP1S
1,0082
1,0086
1,0086.2A
1,0086.2C
1,0086.3A
1,0086.3C
1,0086.6A
1,0086.6C
1,0086.TA
1,0086.TC
1,0086.TE
1,0086~IA
1,0086~IC
1,0086~SA
1,0086~SC
1,00860GA
1,00860GC
1,00860JA
1,00860JC
1,00860KA
1,00860KC
1,00860MA
1,00860MC
1,00860RA
1,00860RC
1,00860TA
1,00860TC
1,00860ZA
1,00860ZC
1,00861AA
1,00861AC
1,00861AE
1,00861HA
1,00861HC
1,00861KA
1,00861KC
1,00861OA
1,00861OC
1,008626A
1,008626C
1,0086A0A
1,0086A0C
1,0086A1A
1,0086A1C
1,0086A2A
1,0086A2C
1,0086A3A
1,0086A3C
1,0086A4A
1,0086A4C
1,0086A6A
1,0086A6C
1,0086A9A
1,0086A9C
1,0086ACA
1,0086ACC
1,0086AFA
1,0086AFC
1,0086AJA
1,0086AJC
1,0086AKA
1,0086AKC
1,0086AMA
1,0086AMC
1,0086APA
1,0086APC
1,0086ARA
1,0086ARC
1,0086ASA
1,0086ASC
1,0086AVA
1,0086AVC
1,0086AVE
1,0086AWA
1,0086AWC
1,0086AWE
1,0086AXA
1,0086AXC
1,0086AZA
1,0086AZC
1,0086B0A
1,0086B0C
1,0086B1A
1,0086B1C
1,0086B2A
1,0086B2C
1,0086B3A
1,0086B3C
1,0086BAA
1,0086BAC
1,0086BCA
1,0086BCC
1,0086BFA
1,0086BFC
1,0086BLA
1,0086BLC
1,0086BSA
1,0086BSC
1,0086BUA
1,0086BUC
1,0086BVA
1,0086BVC
1,0086BXA
1,0086BXC
1,0086BYA
1,0086BYC
1,0086C1A
1,0086C1C
1,0086C3A
1,0086C3C
1,0086C4A
1,0086C4C
1,0086C6A
1,0086C6C
1,0086C7A
1,0086C7C
1,0086C8A
1,0086C8C
1,0086CAA
1,0086CAC
1,0086CBA
1,0086CBC
1,0086CDA
1,0086CDC
1,0086CLA
1,0086CLC
1,0086COA
1,0086COC
1,0086CQA
1,0086CQC
1,0086D1A
1,0086D1C
1,0086D3A
1,0086D3C
1,0086D-A
1,0086DBA
1,0086DBC
1,0086D-C
1,0086DDA
1,0086DDC
1,0086DEA
1,0086DEC
1,0086DNA
1,0086DNC
1,0086DRA
1,0086DRC
1,0086DSA
1,0086DSC
1,0086E5A
1,0086E5C
1,0086E6A
1,0086E6C
1,0086E7A
1,0086E7C
1,0086E8A
1,0086E8C
1,0086E9A
1,0086E9C
1,0086E-A
1,0086EAA
1,0086EAC
1,0086E-C
1,0086EEA
1,0086EEC
1,0086EEO
1,0086EEP
1,0086EFA
1,0086EFC
1,0086ELA
1,0086ELC
1,0086F1A
1,0086F1C
1,0086F1E
1,0086F2A
1,0086F2C
1,0086F2E
1,0086F3A
1,0086F3C
1,0086F3E
1,0086F5A
1,0086F5C
1,0086F5E
1,0086F6A
1,0086F6C
1,0086F6E
1,0086F7A
1,0086F7C
1,0086F7E
1,0086F9A
1,0086F9C
