id_task,id_baseTask,id_subtask,desc_baseTask,desc_task
0010,0010,,RELEASE FINAL BOM,RELEASE FINAL BOM
0017,0017,,"SERVICE MANUAL-VOL 1,2,3",CUSTOMER O&M MANUAL
0017AOE,0017,AOE,"SERVICE MANUAL-VOL 1,2,3",0469 SCHEM PP IGV SRVC MANUAL
0017AQE,0017,AQE,"SERVICE MANUAL-VOL 1,2,3",1261 COMB DYN SRVC MANUAL
0017BQE,0017,BQE,"SERVICE MANUAL-VOL 1,2,3",A014 PANEL CONTROL TURB SRVC MANUAL
0017BTE,0017,BTE,"SERVICE MANUAL-VOL 1,2,3",0474 GAS PROT SYS SERVICE MANUAL
0017CAE,0017,CAE,"SERVICE MANUAL-VOL 1,2,3",0421 STARTING MNS SRVC MANUAL
0017CBE,0017,CBE,"SERVICE MANUAL-VOL 1,2,3",0416 LUBRICATION SYS SRVC MANUAL
0017CCE,0017,CCE,"SERVICE MANUAL-VOL 1,2,3",0420 I M TEXT CLG WTR SYS
0017CDE,0017,CDE,"SERVICE MANUAL-VOL 1,2,3",0424 LIQUID FUEL SYS SRVC MANUAL
0017CEE,0017,CEE,"SERVICE MANUAL-VOL 1,2,3",0422 GAS FUEL SYS SRVC MANUAL
0017CFE,0017,CFE,"SERVICE MANUAL-VOL 1,2,3",0425 ATOMIZING AIR SYS SRVC MANUAL
0017CGE,0017,CGE,"SERVICE MANUAL-VOL 1,2,3",0434 HYDRAULIC SYS SRVC MANUAL
0017CHE,0017,CHE,"SERVICE MANUAL-VOL 1,2,3",0418 TRIP OIL SYS SRVC MANUAL
0017CIE,0017,CIE,"SERVICE MANUAL-VOL 1,2,3",0417 CLG AND SLG AIR SYS SRVC MANUAL
0017CJE,0017,CJE,"SERVICE MANUAL-VOL 1,2,3",0426 FIRE PROTECTION SYS SRVC MANUA
0017CKE,0017,CKE,"SERVICE MANUAL-VOL 1,2,3",0436 VENT AND HEATING SYS SRVC MANUAL
0017CLE,0017,CLE,"SERVICE MANUAL-VOL 1,2,3",#N/A
